BANC,FAFB,MCNS
720575941538793341,720575940608410325,151808
720575941538747773,720575940632889645,150776
720575941525224217,720575940630460727,134185
720575941525186916,720575940630507116,135887
720575941436703276,720575940630955700,153742
720575941613695385,720575940630964561,153094
720575941612601107,720575940630988113,152569
720575941612451091,720575940631007799,152475
720575941611560156,720575940631024209,152206
720575941436395820,720575940630700684,135460
720575941433862798,720575940631141317,552784
720575941432505870,720575940631152069,552623
720575941431668321,720575940631241743,552238
720575941644074952,720575940631330263,552227
720575941642941816,720575940609201347,551924
720575941641897573,720575940646864948,36284
720575941540535388,720575940646927924,35673
720575941539177853,720575940635951471,35316
720575941438312927,720575940636118895,133037
720575941438236479,720575940636286644,132678
720575941610149037,720575940630423547,134040
720575941609803241,720575940630255447,133525
720575941609745641,720575940630285356,155290
720575941609723466,720575940630299127,155084
720575941437757503,720575940630588367,154977
720575941437578559,720575940630590326,154760
720575941526593446,720575940630364160,154548
720575941526541990,720575940630418263,133219
720575941526368589,720575940608920075,40033
720575941526204772,720575940609043925,39987
720575941525868454,720575940630729320,39043
720575941525862566,720575940630782283,38804
720575941525374466,720575940630852931,37257
720575941525298946,720575940630442711,36809
720575941519941047,720575940629905255,155880
720575941519288755,720575940629933762,130346
720575941525148749,720575940630003703,129808
720575941543195653,720575940630020567,130998
720575941542226268,720575940630046846,130877
720575941541162076,720575940630067676,130545
720575941643511672,720575940630156631,130463
720575941643352737,720575940630176503,43674
720575941626371385,720575940630202306,43404
720575941440639183,720575940610133955,43124
720575941440373339,720575940610294979,42773
720575941440101839,720575940609293660,42712
720575941439948239,720575940609499000,42301
720575941439615935,720575940609553476,41974
720575941439411423,720575940609574468,41651
720575941438546773,720575940630334459,40941
720575941544400060,720575940629172679,44684
720575941544373692,720575940629176023,551880
720575941543338757,720575940629260035,551800
720575941546908852,720575940629263610,551684
720575941679677373,720575940629264492,551643
720575941603924158,720575940629492071,551526
720575941603669950,720575940637727066,551242
720575941627641401,720575940636513399,44361
720575941626833721,720575940636529765,43921
720575941524933634,720575940636571749,43920
720575941524919298,720575940610397230,158149
720575941522655991,720575940610623089,158076
720575941522401355,720575940609907298,158044
720575941521455095,720575940629667945,157546
720575941520849335,720575940629742714,157147
720575941520760759,720575940629379407,156418
720575941548359304,720575940628618106,128547
720575941548317556,720575940637320169,128354
720575941547845665,720575940628793243,128311
720575941547807265,720575940628805019,128168
720575941515671386,720575940628842951,46950
720575941686491375,720575940628852423,46522
720575941626342713,720575940628471375,46488
720575941602050294,720575940628494588,46412
720575941601953014,720575940629328463,45676
720575941599018537,720575940628861435,45464
720575941598961600,720575940629075499,45294
720575941598957609,720575940629117699,45283
720575941686191855,720575940628731140,45154
720575941686130927,720575940610805858,44946
720575941518290286,720575940610907654,44906
720575941518234734,720575940629532794,44874
720575941514790490,720575940627879496,126416
720575941514705811,720575940627887356,126399
720575941551700735,720575940628083530,125997
720575941550764350,720575940637766878,161965
720575941550714942,720575940637991401,160776
720575941450457422,720575940628217832,159600
720575941449090638,720575940628358068,127010
720575941449048501,720575940611333841,126952
720575941448382645,720575940611508629,127585
720575941448250549,720575940611755286,127558
720575941546353032,720575940628663281,49706
720575941546162824,720575940628383560,49663
720575941517974232,720575940628409674,48416
720575941517388460,720575940628434673,47578
720575941517081516,720575940628149002,128715
720575941549026593,720575940628154985,128609
720575941513840218,720575940627061946,125909
720575941513773379,720575940627348841,125810
720575941513529667,720575940627372565,164586
720575941655216084,720575940627484041,163691
720575941655213268,720575940627181854,163501
720575941654961364,720575940627887888,163356
720575941450987335,720575940627541736,162743
720575941450976327,720575940627552584,125386
720575941598270876,720575940627584787,50369
720575941598113216,720575940627606801,551007
720575941596541340,720575940627661640,550931
720575941596513157,720575940612110946,550912
720575941450778439,720575940645949294,50098
720575941450770503,720575940638037318,50004
720575941450481998,720575940628120296,49873
720575941515210339,720575940627842792,126499
720575941553636097,720575940626580773,124667
720575941552647066,720575940626642344,123687
720575941651770897,720575940626740404,123442
720575941511927116,720575940626849072,123230
720575941455863792,720575940638136922,125068
720575941454963949,720575940638274879,124859
720575941454768877,720575940638471768,124739
720575941454601779,720575940627053903,52558
720575941452959657,720575940626767618,52547
720575941452679593,720575940626822146,52440
720575941451527239,720575940626927887,52294
720575941451399593,720575940612489113,52232
720575941451017287,720575940612030437,52215
720575941549176609,720575940612064997,51547
720575941514039043,720575940627243052,50898
720575941513928794,720575940627278340,50612
720575941510953426,720575940626148185,169599
720575941555397796,720575940626177176,122897
720575941554914276,720575940626231498,54475
720575941554494948,720575940626313316,54460
720575941508692496,720575940626365758,54395
720575941508366465,720575940626418020,53822
720575941460000467,720575940626079376,53781
720575941459268819,720575940626124839,53752
720575941458764614,720575940612768405,53638
720575941458157894,720575940612790442,53530
720575941594575318,720575940612156968,53469
720575941594457201,720575940612186803,52901
720575941457682160,720575940612235586,52864
720575941457434783,720575940612329934,52816
720575941654164436,720575940626521744,167341
720575941653577172,720575940626276400,167041
720575941507895074,720575940625101496,122814
720575941506960734,720575940625195303,176144
720575941558269166,720575940626050490,173825
720575941558144783,720575940625683431,172766
720575941558051087,720575940625703975,56355
720575941505718341,720575940625883454,55830
720575941505441349,720575940625371024,55824
720575941462355088,720575940625414380,55797
720575941462039821,720575940612962730,55603
720575941461967629,720575940613020018,55274
720575941461961485,720575940613046499,54856
720575941460702096,720575940613056218,54644
720575941593627687,720575940613109362,54635
720575941593546021,720575940625979667,54561
720575941630798316,720575940625995312,171500
720575941630532578,720575940638965181,171276
720575941505066007,720575940625013948,120664
720575941504506684,720575940625052233,120470
720575941503967682,720575940624795883,122274
720575941503336642,720575940625295084,122122
720575941503252018,720575940624842483,179342
720575941502931906,720575940624874167,178198
720575941502727362,720575940624956903,178132
720575941466420566,720575940613248435,57495
720575941465845782,720575940613291749,57494
720575941630289958,720575940613400037,57008
720575941629453538,720575940612922163,56875
720575941628093753,720575940625564362,56848
720575941591644011,720575940625567762,56755
720575941462544909,720575940625584627,56733
720575941462502413,720575940625634028,56706
720575941462430221,720575940625663280,56419
720575941559628559,720575940624090602,179937
720575941559475245,720575940623847935,58660
720575941502473707,720575940624112381,58567
720575941502473559,720575940624271911,58533
720575941589782924,720575940624323657,58523
720575941589022718,720575940624385772,58473
720575941588986622,720575940624514547,58190
720575941588951550,720575940624829989,57921
720575941588749566,720575940624566456,57769
720575941588371255,720575940613445746,57677
720575941588353335,720575940613468397,57656
720575941588247607,720575940613606575,57628
720575941468087517,720575940613684911,121361
720575941467873245,720575940639210062,121001
720575941505095703,720575940639349632,120846
720575941505076503,720575940639464867,120751
720575941656957976,720575940623280127,189030
720575941469979456,720575940623296507,187759
720575941469856631,720575940623544712,118695
720575941469775479,720575940639618432,120130
720575941469690891,720575940639665469,120051
720575941679404989,720575940623337510,119341
720575941679263677,720575940623362122,550416
720575941670150055,720575940623374861,58890
720575941669730727,720575940623495974,58778
720575941669259441,720575940623674879,120389
720575941469625867,720575940644827428,185022
720575941469281399,720575940613802090,181785
720575941561359272,720575940624011784,181288
720575941560819757,720575940624051348,181081
720575941559964205,720575940624078921,180358
720575941559959341,720575940624084149,180145
720575941472039008,720575940622732713,118412
720575941587870276,720575940622756707,118230
720575941587733828,720575940622420189,118134
720575941587330628,720575940622436641,118051
720575941587319108,720575940622779775,60867
720575941586261214,720575940623007326,60799
720575941585800414,720575940623087507,60563
720575941585478790,720575940623165608,60558
720575941501843947,720575940614296214,60436
720575941660769336,720575940614404970,60243
720575941639444255,720575940644439456,60164
720575941638877215,720575940644506135,59543
720575941562923432,720575940644741412,59539
720575941562910354,720575940644796951,59309
720575941562476434,720575940623199965,59202
720575941657438744,720575940623200280,119032
720575941497865890,720575940621949022,192910
720575941497616097,720575940621684318,192868
720575941497380833,720575940622385869,192752
720575941497227849,720575940621988084,61955
720575941475594036,720575940622040742,61949
720575941475529524,720575940622107312,61676
720575941475366430,720575940622181670,61665
720575941475183409,720575940622313084,61626
720575941475063867,720575940641037696,61586
720575941474084923,720575940622565572,61562
720575941474082363,720575940622574605,61384
720575941473710651,720575940622594857,61313
720575941473567035,720575940614672786,61137
720575941473518634,720575940614686662,60934
720575941473210922,720575940614708642,60917
720575941472294496,720575940622710655,118475
720575941639958815,720575940620928321,116068
720575941495798727,720575940620581893,63733
720575941495401344,720575940620645709,63354
720575941478458592,720575940621123905,63304
720575941477583153,720575940620859489,63251
720575941477242474,720575940621234927,63244
720575941476558129,720575940621354991,63150
720575941476502577,720575940620953583,62989
720575941584103046,720575940640591924,62897
720575941475865652,720575940640595252,62739
720575941475831092,720575940640632893,62495
720575941655654100,720575940640753104,62291
720575941655273940,720575940621467574,62206
720575941501739755,720575940621623686,195678
720575941498543266,720575940614971550,193826
720575941498092194,720575940621846883,193390
720575941490379239,720575940641441525,115523
720575941490341065,720575940641563188,115462
720575941490230729,720575940641563700,204057
720575941661738364,720575940620525695,203256
720575941479299458,720575940620534624,200661
720575941479195522,720575940620274566,198023
720575941478780034,720575940620327956,197298
720575941579863417,720575940620765888,64299
720575941579434741,720575940615681292,63876
720575941578379345,720575940615171467,63855
720575941578221657,720575940615220383,63843
720575941577983577,720575940615229346,63806
720575941563554567,720575940615239285,549705
720575941563425287,720575940620864877,116684
720575941563405154,720575940620896240,116435
720575941641687653,720575940620917697,116262
720575941575417960,720575940619022757,207574
720575941574862735,720575940642126221,207483
720575941574445725,720575940642268045,206841
720575941574259894,720575940619590310,206320
720575941574201782,720575940619668871,205013
720575941574011899,720575940619788885,114203
720575941573797775,720575940619795416,115123
720575941661857660,720575940641829851,114339
720575941661849980,720575940619992011,114236
720575941495316864,720575940620015086,65410
720575941495082624,720575940620126366,65131
720575941493857150,720575940616147573,64895
720575941493209982,720575940615332246,64856
720575941491766503,720575940615665458,64486
720575941490870988,720575940641171931,115697
720575941490838988,720575940641418971,115676
720575941566834734,720575940617949789,219303
720575941566508078,720575940618143003,218469
720575941565384855,720575940643672776,216393
720575941564780086,720575940618040901,113726
720575941569571060,720575940618056005,113292
720575941569258866,720575940618094749,66520
720575941481952186,720575940618102529,66193
720575941481756346,720575940618136859,66175
720575941481672646,720575940618830144,66041
720575941481202118,720575940618862715,65905
720575941480962639,720575940618207045,65693
720575941480260738,720575940618785926,65677
720575941479974368,720575940618808148,65589
720575941666615539,720575940619213488,65545
720575941663155836,720575940619232216,65543
720575941663130492,720575940619335407,210043
720575941631907515,720575940617180049,67694
720575941631427488,720575940616748817,67495
720575941633003168,720575940616770610,67491
720575941632367291,720575940617358651,67428
720575941484659085,720575940617453017,67334
720575941484571277,720575940617100044,67309
720575941482506493,720575940617516729,67211
720575941482448893,720575940617585698,67061
720575941573455113,720575940617634233,67045
720575941573293469,720575940617643810,66886
720575941572999419,720575940616365766,66766
720575941482087421,720575940616396917,66616
720575941489978855,720575940615711325,245725
720575941489976526,720575940615803954,241652
720575941567784442,720575940615954363,223078
720575941567604270,720575940617867238,222960
720575941686850828,720575940633706906,111356
720575941429277359,720575940634999950,111276
720575941429174665,720575940635105375,111258
720575941429163256,720575940635171519,110811
720575941428264788,720575940635171695,110717
720575941426313812,720575940606325094,112731
720575941426265684,720575940606677634,112307
720575941425973332,720575940605200486,112021
720575941415783196,720575940605306726,111670
720575941412822420,720575940605394354,68626
720575941533757930,720575940634428255,549201
720575941533351658,720575940633825166,548266
720575941533167850,720575940633832237,548062
720575941531251685,720575940633843854,547989
720575941530598603,720575940633896473,68583
720575941529414328,720575940633919083,68503
720575941701468122,720575940604875744,513470
720575941409909675,720575940604805566,513427
720575941410758511,720575940599457990,513205
720575941536109027,720575940652191734,512707
720575941404572528,720575940652193014,512666
720575941391385750,720575940616411323,512092
720575941703021530,720575940609966690,511832
720575941412275567,720575940609985860,110491
720575941721321018,720575940609360174,110487
720575941721300282,720575940599459782,70199
720575941703697114,720575940625085671,69908
720575941392171926,720575940625087724,69828
720575941391608580,720575940624735525,69429
720575941391275780,720575940624740091,69301
720575941391244548,720575940613673779,68740
720575941701219034,720575940613153689,111617
720575941689521816,720575940624823283,515270
720575941689293208,720575940639771008,109725
720575941689089944,720575940639294323,109412
720575941403031408,720575940616731665,110387
720575941411452783,720575940616761617,110221
720575941410798703,720575940616770134,110122
720575941409350315,720575940616894681,109962
720575941409142699,720575940660348033,72786
720575941408364971,720575940604811692,72117
720575941721326650,720575940604818092,71659
720575941571479624,720575940604993708,71588
720575941486566096,720575940605056684,71268
720575941486021584,720575940604180140,71178
720575941485128966,720575940602140862,71136
720575941572727453,720575940634600287,70801
720575941572712349,720575940605674185,513496
720575941572659464,720575940604105137,514029
720575941636294261,720575940647945268,513895
720575941567871220,720575940616575062,513722
720575941489830350,720575940605238705,513613
720575941489745868,720575940605398048,73790
720575941489642444,720575940617301177,73720
720575941489589198,720575940617358009,73676
720575941489434574,720575940617395686,547923
720575941489113801,720575940617396497,546765
720575941631921851,720575940617443677,546687
720575941631828923,720575940617470609,73252
720575941631760315,720575940617529378,109181
720575941572199752,720575940617548884,108917
720575941572108360,720575940617586210,108708
720575941484535874,720575940617641309,108523
720575941484520077,720575940617665885,515315
720575941573520527,720575940634400959,516459
720575941573513871,720575940654165921,516415
720575941573142537,720575940616203166,516284
720575941481971453,720575940615779807,515921
720575941566817530,720575940630029612,515885
720575941566200878,720575940630105106,76471
720575941565980775,720575940630118871,76164
720575941570618014,720575940630151996,75016
720575941569531636,720575940630153324,74707
720575941568431730,720575940630204636,74473
720575941481942525,720575940609810013,74074
720575941481801469,720575940609919445,514847
720575941480713551,720575940629699063,514831
720575941480283843,720575940629762426,514790
720575941665317363,720575940629782469,514618
720575941662389116,720575940629788542,514409
720575941662312060,720575940629375567,517821
720575941576732761,720575940606835074,517290
720575941574705000,720575940606926722,515794
720575941574286991,720575940618169674,107774
720575941574084239,720575940629473324,107224
720575941573704335,720575940629856556,79154
720575941662129276,720575940629880108,78302
720575941494847872,720575940629904940,77865
720575941494371527,720575940629292922,77290
720575941491654064,720575940629310519,76960
720575941491650224,720575940629318351,107927
720575941490147276,720575940636601572,517209
720575941490056679,720575940636678884,516973
720575941479127971,720575940636845157,516733
720575941478916003,720575940636902757,516714
720575941578311761,720575940618198395,516496
720575941578156121,720575940617747037,105793
720575941577771857,720575940617832758,105759
720575941478639746,720575940616399302,79434
720575941478488170,720575940617880916,546005
720575941564736566,720575940617495508,545599
720575941564243351,720575940644383432,545304
720575941563670935,720575940642665101,545292
720575941563343111,720575940642683808,545207
720575941641843045,720575940642877896,545199
720575941641706597,720575940643595060,79246
720575941496662907,720575940618445241,519108
720575941496389243,720575940618531585,518990
720575941495341184,720575940634591851,518444
720575941477238378,720575940633842062,518420
720575941476859188,720575940633854177,518257
720575941476835434,720575940633883106,517907
720575941476807018,720575940633915874,521140
720575941582776159,720575940616052054,520881
720575941582772063,720575940616054943,520673
720575941582492255,720575940617976389,82780
720575941498103202,720575940618069341,82666
720575941497866146,720575940618112069,82035
720575941497805730,720575940618899579,81936
720575941497681481,720575940610585208,81409
720575941497632329,720575940610637688,81358
720575941497238241,720575940610663573,81137
720575941475786548,720575940636141048,80649
720575941475700033,720575940636188261,80589
720575941474197819,720575940630419141,106438
720575941474065467,720575940611136435,106298
720575941588216887,720575940618971515,106187
720575941588168503,720575940618984315,105796
720575941585098206,720575940618242587,105481
720575941584618206,720575940618264404,105435
720575941584383198,720575940618399462,105164
720575941584375006,720575940643819812,104530
720575941470416192,720575940643866568,544839
720575941661141048,720575940619058648,544368
720575941658332184,720575940619060673,544311
720575941638679327,720575940619097211,544206
720575941563059200,720575940619140406,543907
720575941562910610,720575940637094757,543873
720575941657626704,720575940629504299,543764
720575941657318168,720575940629150407,83627
720575941671274151,720575940629205578,83577
720575941668577969,720575940629266179,521280
720575941469377911,720575940628699127,521268
720575941469344631,720575940611836309,521176
720575941469231479,720575940634961070,523481
720575941561736360,720575940635109983,523414
720575941560477352,720575940635192474,521806
720575941560048429,720575940635206245,86201
720575941559450639,720575940606527922,85888
720575941502645554,720575940618691904,85556
720575941502623794,720575940618787206,85491
720575941502369259,720575940645147939,85467
720575941501891211,720575940611041459,85172
720575941590065804,720575940630327808,85003
720575941589123070,720575940637107886,84951
720575941588355383,720575940628768680,84859
720575941468072413,720575940628782065,84768
720575941467935965,720575940628800006,84714
720575941467427606,720575940628856836,519488
720575941504433212,720575940628578603,519221
720575941504341669,720575940628585987,543438
720575941503388466,720575940628588135,543286
720575941502866626,720575940619215936,542929
720575941502675394,720575940619329414,542774
720575941562221970,720575940628920219,542571
720575941561825960,720575940628921162,542492
720575941629366754,720575940629010432,86660
720575941629298146,720575940629100304,104444
720575941628055846,720575940629110522,524587
720575941592051819,720575940629111707,524539
720575941591680107,720575940630614981,524420
720575941464973142,720575940630344960,524093
720575941462442253,720575940628461896,523905
720575941506640162,720575940628651014,523867
720575941556923940,720575940638040142,523831
720575941556885028,720575940637227998,523668
720575941556723364,720575940619355984,102777
720575941556541988,720575940619418929,102539
720575941505819717,720575940619211480,102348
720575941505785623,720575940619761217,526658
720575941505689623,720575940637407845,526555
720575941505361221,720575940637441758,521796
720575941460729488,720575940637612260,103486
720575941593320487,720575940628764203,89203
720575941593199399,720575940611829141,89069
720575941592991190,720575940628362813,88877
720575941631208389,720575940628399434,88662
720575941631071685,720575940628424776,88234
720575941630753772,720575940630430508,88100
720575941510356752,720575940619779465,87635
720575941510130448,720575940605868418,87587
720575941510019282,720575940634086295,543563
720575941509530322,720575940644063944,101686
720575941555900900,720575940644164718,101366
720575941555561636,720575940611307669,101260
720575941554578404,720575940615602107,525990
720575941553975450,720575940615617163,525846
720575941508792080,720575940615622685,525653
720575941460349072,720575940615630934,525312
720575941459472339,720575940633664281,524979
720575941594775941,720575940633697983,524819
720575941594363094,720575940633388115,102211
720575941594006311,720575940643679688,90897
720575941457399967,720575940642125813,90461
720575941457339295,720575940619925696,90349
720575941457144735,720575940620003188,90346
720575941653202649,720575940642267021,90301
720575941553147393,720575940619490507,89961
720575941552778523,720575940619631158,101225
720575941552620827,720575940620059813,101107
720575941552478087,720575940620148596,100498
720575941651707921,720575940615329951,100494
720575941650851313,720575940615556255,530634
720575941650658069,720575940615560278,92015
720575941510955986,720575940615598267,91842
720575941456993776,720575940630437228,91658
720575941455879408,720575940630221098,91583
720575941454797037,720575940630221980,91246
720575941454736109,720575940630306775,542067
720575941453190963,720575940628304643,541533
720575941451950505,720575940628347464,541513
720575941451330985,720575940627958546,541476
720575941513742947,720575940612125170,102078
720575941513172803,720575940612145301,101973
720575941512708049,720575940641410011,529589
720575941512512844,720575940641435099,529149
720575941512211665,720575940641577101,527520
720575941511984849,720575940641613557,527340
720575941598922537,720575940628088582,527191
720575941598731305,720575940638575192,527089
720575941598013340,720575940637744094,527054
720575941596654492,720575940637863401,100055
720575941596483740,720575940637903076,92313
720575941514960451,720575940637928158,539595
720575941514925459,720575940620474817,539287
720575941514709497,720575940620528736,539091
720575941514697363,720575940620263592,538979
720575941514307674,720575940620035408,537856
720575941551314494,720575940615247839,537456
720575941550893630,720575940620320094,537127
720575941550651454,720575940620346305,531716
720575941549581630,720575940620656598,531715
720575941450355022,720575940620671623,531689
720575941449323342,720575940620690768,531547
720575941448779357,720575940620732525,531327
720575941448763214,720575940633425581,530996
720575941448633693,720575940633454305,530988
720575941448556110,720575940633195489,93933
720575941448553294,720575940607204530,93921
720575941448412085,720575940607522226,93096
720575941448375221,720575940620346900,92770
720575941448189021,720575940620348513,92579
720575941448128861,720575940642643252,530627
720575941545597620,720575940641400795,530497
720575941517339096,720575940607859804,530361
720575941517158060,720575940620773217,529598
720575941548378228,720575940620474059,98909
720575941686846070,720575940628165352,98838
720575941686843254,720575940628216081,98822
720575941686619916,720575940645622051,537068
720575941626219914,720575940645689396,536644
720575941624903020,720575940646184995,536494
720575941602032118,720575940646496547,536394
720575941602018294,720575940646603555,536187
720575941519247027,720575940646605876,536150
720575941519210935,720575940628090353,536008
720575941519210163,720575940627767624,535640
720575941518269550,720575940615196010,535573
720575941545130857,720575940615218087,535379
720575941544477701,720575940627635972,535315
720575941543362153,720575940627694744,99698
720575941543361385,720575940621175649,99544
720575941543318277,720575940620809051,533358
720575941546527112,720575940614746847,533340
720575941686099439,720575940620898544,533207
720575941686032111,720575940620951167,533028
720575941448021173,720575940620563220,532682
720575941446238996,720575940621040065,532439
720575941606222957,720575940621044340,532401
720575941606054509,720575940633245907,532296
720575941603826878,720575940636088462,94965
720575941603566326,720575940635237044,94791
720575941628020006,720575940635286196,94192
720575941627668793,720575940607700060,530727
720575941626842169,720575940607853323,99449
720575941524885069,720575940630365689,99322
720575941524842596,720575940620951472,99307
720575941522432587,720575940641647668,99261
720575941522281803,720575940640587472,97627
720575941521267191,720575940635363168,97477
720575941520520375,720575940635368567,97002
720575941525146212,720575940635461239,535164
720575941541206876,720575940621053360,535047
720575941643605960,720575940621055323,534974
720575941643569057,720575940627776058,534972
720575941643514312,720575940627814163,534923
720575941643138680,720575940609733845,534748
720575941642979960,720575940609782793,534746
720575941440457935,720575940608650507,534245
720575941440334171,720575940627613928,533928
720575941440076239,720575940635503758,533839
720575941439955407,720575940635544973,95745
720575941439654079,720575940633355987,98648
720575941439450303,720575940620821441,533809
720575941439416767,720575940620831341,142391
720575941438724671,720575940621191156,142373
720575941438218975,720575940621321057,142024
720575941610668262,720575940621342902,141985
720575941610182118,720575940621354155,29127
720575941610160045,720575940621358501,28658
720575941610154217,720575940612123866,28554
720575941610133225,720575940647818116,28295
720575941526204070,720575940627469564,27017
720575941525724185,720575940627192728,25869
720575941525504537,720575940627196772,25851
720575941525488461,720575940614974110,24652
720575941525226061,720575940640721141,24551
720575941437081106,720575940621690100,24536
720575941613673625,720575940621747580,144850
720575941613478553,720575940621749416,144332
720575941611954908,720575940621791237,21477
720575941611794534,720575940621542765,21517
720575941434752544,720575940630400374,570095
720575941431559777,720575940609601092,12709
720575941527532420,720575940609695790,13262
720575941650253845,720575940630560763,14177
720575941650225685,720575940611982802,14326
720575941644972705,720575940627267721,580272
720575941642904914,720575940627323157,580456
720575941642433874,720575940627058186,580460
720575941541042557,720575940606947529,580482
720575941643977160,720575940632703023,580535
720575941643698770,720575940632734637,580969
720575941431222286,720575940632782540,571980
720575941430976393,720575940632823912,580379
720575941618231167,720575940621571149,120176
720575941617379541,720575940627062291,118654
720575941616253397,720575940627090002,118787
720575941430348385,720575940627336714,187049
720575941688861659,720575940612381335,188883
720575941528187814,720575940612405477,189650
720575941539173325,720575940611943141,189724
720575941539091069,720575940608675851,119331
720575941538643405,720575940608867083,550506
720575941538616957,720575940621605997,550522
720575941527967160,720575940614778335,550625
720575941688653019,720575940614952607,550703
720575941688531574,720575940639907517,59196
720575941624049610,720575940640183936,120084
720575941429386121,720575940614986719,120170
720575941429146872,720575940615040943,143865
720575941426380372,720575940614427542,144020
720575941425742932,720575940614449631,144087
720575941413903505,720575940630766610,144167
720575941413079185,720575940630448896,144751
720575941533235634,720575940630466042,144987
720575941533175384,720575940626791293,24677
720575941533115626,720575940626798353,24860
720575941533093354,720575940626835545,534899
720575941531627139,720575940627103588,97611
720575941530612965,720575940621645829,98292
720575941529938379,720575940621676817,531883
720575941529392331,720575940632682067,532148
720575941535770600,720575940632665252,95885
720575941534598938,720575940609251523,901534
720575941534332938,720575940621949985,20589
720575941538483917,720575940622362890,536905
720575941537677298,720575940627154313,94069
720575941537149938,720575940627180520,99356
720575941412769172,720575940626905496,99479
720575941391154436,720575940638375494,99487
720575941351655984,720575940638379846,94075
720575941351392048,720575940627007869,94174
720575941624428908,720575940627018259,25421
720575941624428652,720575940627021612,28180
720575941624382619,720575940626760211,141722
720575941624373147,720575940630996754,141783
720575941412511633,720575940622378218,141973
720575941425214804,720575940640389208,142334
720575941534096138,720575940622518298,142375
720575941534341554,720575940622557260,142418
720575941410612395,720575940622620874,142525
720575941406704558,720575940630637007,99685
720575941406718126,720575940631112668,99724
720575941407115694,720575940631192620,99944
720575941689141912,720575940638507497,99946
720575941533246642,720575940638547508,100011
720575941533268056,720575940626872201,535308
720575941533404138,720575940626597662,536027
720575941533800170,720575940626677480,553690
720575941701586138,720575940626700294,554121
720575941537146005,720575940622268748,140531
720575941537221106,720575940632577934,140687
720575941690306523,720575940622874385,141059
720575941391492246,720575940622890710,141399
720575941391758742,720575940622890966,141512
720575941622879228,720575940609255177,141575
720575941701946842,720575940608276233,536541
720575941701970906,720575940608278537,539165
720575941413070737,720575940622276340,539737
720575941615930581,720575940622282762,92220
720575941618005631,720575940622283786,92480
720575941618034047,720575940622290252,528995
720575941618229631,720575940614572950,529829
720575941618598015,720575940614590429,530003
720575941431232270,720575940614722541,92624
720575941434052896,720575940640254928,92667
720575941650224149,720575940640302926,92782
720575941650569457,720575940640321165,92916
720575941650579185,720575940622687757,93596
720575941527520422,720575940622693119,93666
720575941539138173,720575940622788195,93944
720575941525943718,720575940626745118,531625
720575941527232132,720575940626867655,531691
720575941527351428,720575940638199273,100495
720575941643683784,720575940638256612,100559
720575941539611228,720575940631295483,100686
720575941540774748,720575940631306538,100840
720575941540834396,720575940631310351,101058
720575941642298706,720575940612330446,141721
720575941642790482,720575940626458412,139549
720575941429774328,720575940626481964,147119
720575941430836951,720575940626492188,147145
720575941544564412,720575940622867453,147384
720575941545156488,720575940622951779,147749
720575941545159048,720575940622639715,147766
720575941545340852,720575940623010345,148506
720575941612599827,720575940632388968,148624
720575941613509529,720575940626512837,537913
720575941613725337,720575940626565852,139052
720575941437046290,720575940626094794,139142
720575941437299730,720575940612861649,32947
720575941437506623,720575940612881578,33544
720575941522291531,720575940612891670,526328
720575941522761975,720575940631235343,526360
720575941524848484,720575940631856451,101303
